Table,Number of Records
acquisition_samples,7187
agricultural_samples,811
branded_food,1807155
fndds_derivation,50
fndds_ingredient_nutrient_value,273911
food,1875578
food_attribute,2100036
food_attribute_type,6
food_calorie_conversion_factor,4973
food_category,29
food_component,3067
food_nutrient,24195562
food_nutrient_conversion_factor,499
food_nutrient_derivation,81
food_nutrient_source,11
food_portion,47838
food_protein_conversion_factor,238
food_update_log_entry,1458579
foundation_food,237
input_food,19309
lab_method,276
lab_method_code,186
lab_method_nutrient,556
market_acquisition,6403
measure_unit,123
microbe,9
nutrient,475
nutrient_incoming_name,731
retention_factor,271
sample_food,2905
sr_legacy_food,7794
sub_sample_food,44538
sub_sample_result,103750
survey_fndds_food,5625
wweia_food_category,170
